Major_Axis_Length,Minor_Axis_Length,Eccentricity,Extent,target
229.7498779,85.09378815,0.928882003,0.572895527,1
206.0200653,91.73097229,0.895404994,0.615436316,1
214.106781,87.76828766,0.912118077,0.693258822,1
193.3373871,87.44839478,0.891860902,0.640669048,1
211.7433777,89.31245422,0.906690896,0.646023929,1
200.0530548,86.65029144,0.901328325,0.657897294,1
207.2966766,98.33613586,0.88032347,0.58970809,1
221.6125183,95.43670654,0.902520597,0.65888828,1
196.6508179,95.05068207,0.875428557,0.649651349,1
198.272644,87.72728729,0.896789312,0.572319865,1
212.2458191,90.01747894,0.905606449,0.624372721,1
204.5341339,92.97486877,0.890711546,0.57021445,1
225.7360535,91.05709076,0.915033162,0.779768884,1
199.489151,90.70998383,0.890638888,0.781218767,1
202.5466766,85.4054718,0.906754851,0.717703342,1
213.5440216,86.16077423,0.914988399,0.666837096,1
214.0500793,91.02632141,0.90507257,0.569369555,1
208.5317841,93.82839966,0.893054903,0.732314467,1
207.1371613,83.94016266,0.914210558,0.595634937,1
197.9709167,89.94907379,0.890820742,0.672046721,1
203.44487,88.12581635,0.901313186,0.561330616,1
204.43013,90.62645721,0.896367073,0.763785779,1
199.9407806,86.68286896,0.901133001,0.79483068,1
206.0117035,94.76668549,0.887915671,0.586883605,1
212.1007538,88.60240936,0.908567846,0.571484506,1
197.9048004,85.70957184,0.90135318,0.592418551,1
216.8732605,96.65367889,0.895197868,0.648624897,1
199.3418579,85.38957214,0.903609395,0.601558208,1
201.3988647,85.25860596,0.905974567,0.780099511,1
202.0469818,95.07941437,0.882356942,0.739998043,1
196.1468048,86.20711517,0.898241103,0.574818313,1
203.085968,85.73687744,0.906516492,0.714042366,1
206.0707397,100.7536316,0.872324467,0.605413556,1
194.7844543,78.43153381,0.915350497,0.769986987,1
200.5519409,92.17806244,0.888114691,0.711428881,1
197.685791,94.05610657,0.879561126,0.587950051,1
203.5928497,91.034729,0.89446342,0.674102128,1
206.5392456,90.01753235,0.900025427,0.65332669,1
199.9330139,93.31210327,0.884406805,0.611279488,1
221.7229004,79.95213318,0.932722569,0.550781429,1
195.3881531,84.35991669,0.901990652,0.58298707,1
